                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5703,                 1.2546,                 1.0674,                0.33241,                0.25559,                0.24085,                0.13587,                 1.4933,                  1.164,                 1.0735,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.5653,                 1.2578,                 1.0689,                0.41747,                0.25116,                0.24137,                0.13609,                 1.4961,                 1.1621,                 1.0754,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.5547,                 1.2475,                 1.0635,                0.42585,                0.25461,                0.24283,                0.13709,                 1.4906,                 1.1582,                 1.0763,               0.009307,               0.009307,               0.009307
                     37,                 1.5618,                 1.2488,                 1.0646,                 0.4926,                0.24686,                0.24059,                0.13727,                  1.485,                 1.1565,                 1.0722,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.5571,                 1.2403,                 1.0639,                0.41681,                  0.255,                0.24465,                0.13909,                 1.4863,                 1.1549,                 1.0721,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.5478,                 1.2325,                   1.06,                0.40605,                0.25586,                0.24686,                0.14052,                 1.4783,                 1.1468,                 1.0701,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.5461,                 1.2367,                 1.0592,                0.41744,                0.25757,                 0.2503,                0.14281,                 1.4797,                 1.1376,                 1.0694,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.5445,                 1.2273,                 1.0575,                0.41242,                0.26027,                 0.2503,                0.14246,                 1.4688,                 1.1345,                 1.0656,               0.009208,               0.009208,               0.009208
                     42,                 1.5431,                 1.2222,                 1.0567,                0.42711,                0.25774,                0.25503,                0.14553,                 1.4701,                 1.1297,                 1.0647,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.5402,                 1.2258,                 1.0582,                0.33254,                0.26343,                0.25447,                0.14543,                 1.4643,                 1.1254,                 1.0654,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.5329,                 1.2134,                 1.0526,                0.41962,                0.26258,                0.25434,                0.14438,                 1.4696,                 1.1258,                 1.0634,              0.0091486,              0.0091486,              0.0091486
